dataset_id	species	tissue_or_scope	data_type	priority	accession_or_doi	source_url	why_use	status
scplantdb_global	Mixed plants	67 datasets, 17 species, 2541394 cells	database	A	scPlantDB	https://biobigdata.nju.edu.cn/scplantdb	Plant single-cell database for large-scale cross-species corpus; use as discovery index for accession-level downloads.	manual_index
scplantllm_reference	Mixed plants	13 plant scRNA datasets	model_reference	A	scPlantLLM	https://github.com/compbioNJU/scPlantLLM	Baseline and reproducibility reference for plant-specialized single-cell LLM.	reference
scplantllm_srp169576_benchmark	Mixed plants	SRP169576 reference subset	scRNA benchmark	A	SRP169576	https://box.nju.edu.cn/seafhttp/f/66ed8930449d41e98b60/?op=view	Downloadable scPlantLLM benchmark/example data for pipeline smoke-to-public-data transition.	download_candidate
scplantannotate_reference	Mixed plants	Arabidopsis, maize, rice, soybean	model_reference	A	scPlantAnnotate	https://doi.org/10.1016/j.jare.2026.01.035	Strong transformer annotation baseline; benchmark against it for top-journal positioning.	reference
vascular_plant_cell_atlas	Mixed vascular plants	shoot apices from six vascular plant species	atlas	A	Cell 2025	https://doi.org/10.1016/j.cell.2025.07.036	Recent high-impact atlas for cross-species conservation and novelty framing.	primary_target
brassicaceae_multi_species_root_atlas	Brassicaceae	roots across five species and abiotic-stress adaptation	scRNA atlas	A	GSE268881 / PRJNA1113801	https://www.nature.com/articles/s41467-026-73270-2	Multi-species root atlas with stress-sensitive and extremophyte Brassicaceae species; strong external transfer benchmark for SnowLotus-CellFM.	download_candidate
arabidopsis_root_atlas	Arabidopsis thaliana	root	scRNA	A	GSE152766	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766	Canonical plant root benchmark for cell identity and developmental gradients.	download_candidate
arabidopsis_leaf_atlas	Arabidopsis thaliana	leaf	scRNA	A	PRJCA003094 / leaf atlas	https://www.psb.ugent.be/sc-leaf-yieldlab/	Leaf cell-type transfer and epidermal/mesophyll discrimination benchmark.	download_candidate
arabidopsis_lifecycle_spatial_atlas	Arabidopsis thaliana	whole life cycle; multiple organs	snRNA/spatial atlas	A	GSE226097	https://www.nature.com/articles/s41477-025-02072-z	High-resolution 2025 Nature Plants life-cycle atlas with over 400k nuclei and paired spatial transcriptomics; anchors cross-organ and spatial marker validation.	download_candidate
rice_seedling_atlas	Oryza sativa	root and leaf	scRNA	A	PMID/processed public	https://doi.org/10.1016/j.molp.2021.04.005	Key monocot transfer dataset; tests model beyond Arabidopsis.	download_candidate
rice_root_tip_atlas	Oryza sativa	root tip	scRNA	B	GSE146034	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146034	Rice root tip single-cell atlas with GEO RAW MTX/TSV files; useful as a compact monocot root-tip validation dataset.	download_candidate
rice_soil_stress_root_atlas	Oryza sativa	roots under gel, soil, and compacted soil	scRNA/spatial/bulk	A	GSE251706 / PRJNA1055099	https://www.nature.com/articles/s41586-025-08941-z	2025 Nature stress-root atlas linking single-cell root states with soil compaction and spatial validation; strong abiotic-stress comparator for snow lotus adaptation.	download_candidate
rice_node_reproductive_stage_atlas	Oryza sativa Japonica Group	node I at booting, flowering, and grain-filling stages	snRNA/10x	A	GSE308757	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308757	Discovered in 2026-07-24 NCBI refresh; GEO RAW MTX archive is available for rice reproductive-stage node cell-state transfer and monocot vascular/stem benchmark coverage.	download_candidate
tomato_rice_root_tip_celltype_atlas	Solanum lycopersicum; Oryza sativa	root tip cell types	translatome/scATAC atlas	B	GSE149217	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149217	Tomato/rice root tip cell-type atlas for crop dicot/monocot transfer and regulatory-context benchmarking.	download_candidate
maize_root_ground_tissue_atlas	Zea mays	root tissues	scRNA/FACS atlas	B	GSE172280 / PRJNA454730	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172280	Maize root cell-resolution map for monocot cortex/ground-tissue transfer and anatomy-specific benchmark.	download_candidate
wheat_soil_root_atlas	Triticum aestivum	soil-grown root	scRNA atlas	B	GSE270342	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270342	Wheat root atlas with validated cross-species annotations; useful for cereal transfer and marker conservation.	download_candidate
arabidopsis_secondary_root_dev_atlas	Arabidopsis thaliana	secondary root	scRNA atlas	B	GSE270140	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270140	2025 Arabidopsis secondary root single-cell dataset with 10x H5 supplementary files; useful for developmental root transfer and independent Arabidopsis validation.	download_candidate
arabidopsis_scrna_method_benchmark	Arabidopsis thaliana	root	scRNA method benchmark	B	GSE300264	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300264	Discovered NCBI/GEO Arabidopsis scRNA-seq processing benchmark comparing enrichment and platforms; RDS supplementary file reviewed for robustness and platform-transfer evaluation.	download_candidate
arabidopsis_lateral_root_founder_atlas	Arabidopsis thaliana	lateral root founder cells	scRNA atlas	B	GSE302041	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302041	Discovered NCBI/GEO Arabidopsis lateral-root founder-cell single-cell dataset; RDS supplementary file reviewed for developmental root-state validation.	download_candidate
catharanthus_leaf_specialized_metabolism	Catharanthus roseus	leaf	scRNA	B	figshare 20255094	https://figshare.com/articles/dataset/Single-cell_multi-omics_of_Catharanthus_roseus/20255094	Medicinal-plant comparator for snow lotus secondary metabolism narrative.	download_candidate
cotton_glandular_terpenoid_atlas	Gossypium hirsutum	leaf glandular cells	scRNA	B	GSE243419	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243419	Cotton glandular-cell single-cell dataset connected to terpenoid biosynthesis; secondary-metabolism comparator for SnowLotus marker discovery.	download_candidate
rice_leaf_stress_snuc_atlas	Oryza sativa	leaf drought and salinity stress	snRNA atlas	A	GSE313726	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313726	Discovered NCBI/GEO rice single-nucleus stress atlas with drought and salinity responses; RDS supplementary file reviewed as high-value alpine-stress comparator for Snow Lotus.	download_candidate
brassicaceae_regulatory_multiome	Brassicaceae	cell-type regulatory grammar	snATAC/snRNA regulatory atlas	B	GSE332675	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE332675	Discovered NCBI/GEO Brassicaceae regulatory dataset linking conserved TF binding, chromatin accessibility, cell type expression, and stress regulation.	discovery_candidate
stevia_leaf_secondary_metabolism_snuc	Stevia rebaudiana	leaf secondary metabolism	snRNA atlas	A	GSE311951	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311951	Discovered NCBI/GEO medicinal-plant single-nucleus leaf dataset mapping steviol-glycoside biosynthesis across cell types; RAW MTX archive reviewed as strong secondary-metabolism comparator.	download_candidate
tomato_mycorrhiza_snuc_atlas	Solanum lycopersicum	root mycorrhizal symbiosis	snRNA atlas	B	GSE314252	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314252	Discovered NCBI/GEO tomato root single-nucleus symbiosis dataset; RDS supplementary file reviewed for stress, root cortex, and environmental interaction transfer.	download_candidate
tomato_salt_idioblast_atlas	Solanum lycopersicum	leaf salt-stress crystal idioblasts	scRNA/stress atlas	A	GSE325371	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325371	Discovered in 2026-07-24 NCBI refresh; GEO RAW MTX archive is available for tomato salt-stress idioblast and ion-compartmentalization transfer benchmarking.	download_candidate
arabidopsis_callus_regeneration_scrna	Arabidopsis thaliana	calli after 7 and 12 days on callus-inducing medium	scRNA	B	GSE234192	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234192	Discovered in 2026-07-24 NCBI refresh; GEO RAW archive plus processed RDS are available for dedifferentiation/regeneration cell-state transfer benchmarking.	download_candidate
marchantia_spore_asymmetry_single_cell	Marchantia polymorpha	spore asymmetry	single-cell developmental transcriptomics	C	GSE336751	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336751	Discovered NCBI/GEO Marchantia single-cell developmental dataset with reviewed RAW MTX archive; low-priority evolutionary outgroup for plant-wide annotation robustness.	download_candidate
maize_easy_multiome_seedling	Zea mays	seedling	scRNA/scATAC multiome	B	GSE338572	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338572	Discovered NCBI/GEO maize easy-Multiome single-cell multiomic dataset; RNA RDS supplementary file reviewed and queued for monocot regulatory and annotation transfer benchmarking.	download_candidate
saussurea_bulk_transcriptome	Saussurea involucrata	whole sample	bulk RNA-seq	B	PRJNA169171 / SRR516284	https://www.ncbi.nlm.nih.gov/sra/SRX156202%5Baccn%5D	Snow lotus gene vocabulary, ortholog mapping, and secondary-metabolism context when no public scRNA exists.	download_candidate
saussurea_genome_reference	Saussurea involucrata	genome and gene annotation	reference genome	A	PRJNA991078	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA991078	Genome-backed Snow Lotus gene vocabulary, ortholog mapping, and marker naming reference.	download_candidate
saussurea_low_pressure	Saussurea involucrata	leaf low-pressure treatment	bulk RNA-seq	B	PRJNA1218246	https://pmc.ncbi.nlm.nih.gov/articles/PMC11941927/	High-altitude/low-pressure adaptation evidence for top-journal biological validation.	download_candidate
saussurea_low_temperature	Saussurea involucrata	seedlings under 20C, 4C, and 4C/0C day-night treatments	bulk RNA-seq	B	PRJNA1033840	https://pmc.ncbi.nlm.nih.gov/articles/PMC12470158/	Low-temperature stress transcriptome evidence for dehydrins, cold response genes, and Snow Lotus alpine adaptation marker prioritization.	download_candidate
saussurea_raw_sequence_reads	Saussurea involucrata	raw sequence read archive	raw sequence reads	C	PRJNA387384	https://www.omicsdi.org/dataset/project/PRJNA387384	Additional public Snow Lotus sequence archive discovered in NCBI/ENA aggregation; keep as secondary accession evidence after runinfo validation.	discovery_candidate
saussurea_medusa_wgs	Saussurea medusa	whole genome sequencing	reference genome	B	PRJNA1278884	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1278884	Discovered NCBI/SRA Saussurea medusa HiFi genome sequencing; close-genus evidence for ortholog and alpine adaptation context.	discovery_candidate
saussurea_hypsipeta_leaf_rna	Saussurea hypsipeta	leaf RNA-seq	transcriptome	B	PRJNA1293189	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1293189	Discovered NCBI/SRA Saussurea hypsipeta leaf RNA-seq; close-genus expression evidence for vocabulary and stress/metabolism context.	discovery_candidate
saussurea_lyrata_hic	Saussurea lyrata	genome Hi-C	reference genome	B	PRJNA1355060	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1355060	Discovered NCBI/SRA Saussurea lyrata Hi-C genome data; close-genus genome-structure support for ortholog mapping context.	discovery_candidate
