dimension	value	cells	fraction
species	Arabidopsis thaliana	149415	0.5478455040112638
species	Fragaria vesca	46028	0.16876640804892715
species	Catharanthus roseus	41653	0.1527250194329965
species	Brassica rapa	22741	0.08338222137482951
species	Gossypium bickii	12895	0.04728084713198304
tissue	Vegetative shoot apex	63034	0.23112066057521669
tissue	Whole root	60034	0.22012085123857852
tissue	True leaf	56975	0.2089047123183198
tissue	Leaf	41653	0.1527250194329965
tissue	Rosette leaf	38141	0.13984790930290542
tissue	Cotyledon	12895	0.04728084713198304
dataset_id	scplantdb_CRA002977_2	63034	0.23112066057521669
dataset_id	scplantdb_CRA004848	46028	0.16876640804892715
dataset_id	scplantdb_SRP335448	41653	0.1527250194329965
dataset_id	scplantdb_SRP169576	35665	0.13076939999706672
dataset_id	scplantdb_SRP148288	24369	0.08935145124151181
dataset_id	scplantdb_CRA006988	22741	0.08338222137482951
dataset_id	scplantdb_DRP009643	15400	0.056465687928075915
dataset_id	scplantdb_SRP424189	12895	0.04728084713198304
dataset_id	scplantdb_CRA002977_1	10947	0.04013830426939266
sample_id	CRX125605	23293	0.08540618629277093
sample_id	CRX125603	21207	0.0777576522006952
sample_id	CRX125604	18534	0.06795682208175058
sample_id	SRX15488576	18205	0.0667505096578326
sample_id	S6	16327	0.05986462901309711
sample_id	DRX382001	15400	0.056465687928075915
sample_id	S12	15363	0.056330023612924045
sample_id	SRX5025981	14546	0.05333440887024625
sample_id	Mock	14338	0.052571755422906
sample_id	SRX19292258	12895	0.04728084713198304
sample_id	SRX15488577	12742	0.0467198568558145
sample_id	CRX125602	10947	0.04013830426939266
sample_id	SRX12004740	10706	0.039254652919349396
sample_id	CRX443755	10240	0.03754601586905827
sample_id	SRX4098370	7745	0.02839784110408753
sample_id	CRX443757	6747	0.024738571198099232
sample_id	CRX443756	5754	0.021097634307672
sample_id	SRX4098372	4987	0.018285349720604843
sample_id	SRX4098371	4611	0.01690670695041286
sample_id	SRX5025979	4133	0.015154070662775179
sample_id	SRX5025980	3754	0.013764428083246558
sample_id	SRX5025987	3637	0.013335435519117669
sample_id	SRX4098373	3317	0.012162122523209598
sample_id	SRX5025988	2858	0.010479151694703958
sample_id	SRX4098369	2729	0.010006159893228518
sample_id	SRX5025982	1676	0.006145226816068521
