label	display_label	marker_rows	unique_genes	n_cells_in	median_score	median_log2fc	median_detection_delta
Columella root cap	Columella root cap	20	20	1302	0.6111110150814056	2.756020426750183	0.24177996441721922
Lateral root cap	Lateral root cap	20	20	3447	2.4737565517425537	4.207751274108887	0.5714827533811331
Non-hair	Non-hair	20	20	2654	1.4371395111083984	2.9572356939315796	0.5243063755333424
Phloem	Phloem	20	20	447	1.7678671479225159	5.821981430053711	0.346053556073457
Root cap	Root cap	20	20	2178	1.404440999031067	2.9386924505233765	0.5321062831208111
Root cortex	Root cortex	20	20	3013	1.134609341621399	3.188737988471985	0.38718029297888285
Root endodermis	Root endodermis	20	20	3773	2.2110711336135864	4.592281818389893	0.46925224177539354
Root hair	Root hair	20	20	4426	1.3734772205352783	3.744271039962769	0.39734490495175123
Root stele	Root stele	20	20	3435	1.0578796863555908	3.587496042251587	0.35603206045925617
Xylem	Xylem	20	20	663	1.7730181813240051	6.392065048217773	0.26915888435905805
