label	display_label	rank	gene	score	log2fc	detection_delta	detection_in	detection_out	n_cells_in	n_cells_out
Columella root cap	Columella root cap	1	AT5G02380	1.5044695138931274	2.847292184829712	0.5283860415220262	0.6397849321365356	0.1113988906145095	1302	34363
Columella root cap	Columella root cap	2	AT2G04025	1.2991318702697754	5.876279830932617	0.2210806640796363	0.2250384092330932	0.0039577451534569	1302	34363
Columella root cap	Columella root cap	3	AT2G36950	0.8489435911178589	1.9339241981506348	0.4389745891094208	0.6036866307258606	0.1647120416164398	1302	34363
Columella root cap	Columella root cap	4	AT3G20840	0.7751506567001343	5.15822696685791	0.1502746269106865	0.1543778777122497	0.0041032508015632	1302	34363
Columella root cap	Columella root cap	5	AT3G45730	0.762669026851654	3.296443462371826	0.23136116564273837	0.258832573890686	0.0274714082479476	1302	34363
Lateral root cap	Lateral root cap	1	AT1G26820	3.025179147720337	5.740530490875244	0.5269859889522195	0.5384392142295837	0.0114532252773642	3447	32218
Lateral root cap	Lateral root cap	2	AT3G16440	2.9497182369232178	4.086220741271973	0.7218695133924484	0.7867711186408997	0.0649016052484512	3447	32218
Lateral root cap	Lateral root cap	3	AT1G15385	2.871299743652344	4.243757724761963	0.6765936985611916	0.720916748046875	0.0443230494856834	3447	32218
Lateral root cap	Lateral root cap	4	AT1G06090	2.831298589706421	4.234749794006348	0.6685869619250298	0.7217870354652405	0.0532000735402107	3447	32218
Lateral root cap	Lateral root cap	5	AT5G55110	2.743521451950073	4.052804946899414	0.6769438162446022	0.7270089983940125	0.0500651821494102	3447	32218
Non-hair	Non-hair	1	AT1G65310	2.7421586513519287	4.369741916656494	0.6275333054363729	0.6676714420318604	0.0401381365954875	2654	33011
Non-hair	Non-hair	2	AT4G12545	2.5410025119781494	3.742491245269776	0.6789601594209671	0.7490580081939697	0.0700978487730026	2654	33011
Non-hair	Non-hair	3	AT1G70850	2.0234296321868896	3.332911729812622	0.6071056574583054	0.6880180835723877	0.0809124261140823	2654	33011
Non-hair	Non-hair	4	AT1G14960	1.941860795021057	3.8338468074798575	0.5065045058727266	0.5504898428916931	0.0439853370189666	2654	33011
Non-hair	Non-hair	5	AT4G12550	1.8866629600524905	3.161574602127075	0.5967478528618814	0.6966842412948608	0.0999363884329795	2654	33011
Phloem	Phloem	1	AT5G04080	4.445839881896973	7.177433967590332	0.6194191714748741	0.6241610646247864	0.0047418931499123	447	35218
Phloem	Phloem	2	AT1G62380	3.213114023208618	5.0211262702941895	0.639919001609087	0.6666666865348816	0.0267476849257946	447	35218
Phloem	Phloem	3	AT2G46630	3.050929546356201	7.1540207862854	0.4264635897707194	0.4295302033424377	0.0030666135717183	447	35218
Phloem	Phloem	4	AT1G79430	2.5453920364379883	7.071040630340576	0.3599741852376611	0.3624161183834076	0.0024419331457465	447	35218
Phloem	Phloem	5	AT5G59090	2.293177604675293	4.635342121124268	0.4947159476578236	0.5167785286903381	0.0220625810325145	447	35218
Root cap	Root cap	1	AT1G54010	2.936662435531616	4.398071765899658	0.6677158772945404	0.7047750353813171	0.0370591580867767	2178	33487
Root cap	Root cap	2	AT5G10130	2.651964902877808	3.634082555770874	0.7297481447458267	0.8030303120613098	0.0732821673154831	2178	33487
