species	cell_type	rank	gene	score	log2fc	detection_delta	mean_expression_group	mean_expression_other	detection_group	detection_other	n_group	n_other
Arabidopsis thaliana	Non-hair	1	AT1G36622	17.30179520803463	17.112818830081874	0.0944881889763779	0.14173226058483124	0.0	0.0944881889763779	0.0	254	31249
Arabidopsis thaliana	Non-hair	2	AT1G53970	16.744234793902375	16.586754478941746	0.07874015748031493	0.09842517971992493	0.0	0.07874015748031493	0.0	254	31249
Arabidopsis thaliana	Non-hair	3	AT1G18020	16.568823999918408	16.466461795193997	0.051181102362204724	0.09055118262767792	0.0	0.051181102362204724	0.0	254	31249
Arabidopsis thaliana	Non-hair	4	AT1G74590	16.045268813867693	15.942906609143282	0.051181102362204724	0.06299211829900742	0.0	0.051181102362204724	0.0	254	31249
Arabidopsis thaliana	Non-hair	5	AT3G09220	12.263327036543345	11.476373476076654	0.3934767802333448	0.7322831749916077	0.00025600820663385093	0.3937007874015742	0.00022400716822938336	254	31249
Arabidopsis thaliana	Non-hair	6	AT1G80440	11.847480909479813	11.705812628063311	0.07083414070825068	0.11023619771003723	3.2001025829231367e-05	0.07086614173228345	3.200102403276905e-05	254	31249
Arabidopsis thaliana	Non-hair	7	AT1G02920	11.842980935651768	11.559836378962963	0.14157227834440295	0.5826770663261414	0.0001920061622513458	0.1417322834645668	0.00016000512016384525	254	31249
Arabidopsis thaliana	Non-hair	8	AT1G53990	11.590539116915956	10.992497932353956	0.2990205922809998	0.5236218571662903	0.00025600820663385093	0.29921259842519643	0.0001920061441966143	254	31249
Arabidopsis thaliana	G2/M phase	1	AT5G37247	17.793652445294917	17.621978625552426	0.08583690987124468	0.20171676576137543	0.0	0.08583690987124468	0.0	233	31270
Arabidopsis thaliana	G2/M phase	2	AT1G16630	16.905174269115868	16.767835213321877	0.06866952789699574	0.1115879938006401	0.0	0.06866952789699574	0.0	233	31270
Arabidopsis thaliana	G2/M phase	3	AT1G03780	16.614222438561434	16.459716000793193	0.0772532188841202	0.09012876451015472	0.0	0.0772532188841202	0.0	233	31270
Arabidopsis thaliana	G2/M phase	4	AT1G49870	16.266453350811666	16.15486536797905	0.05579399141630903	0.07296139001846313	0.0	0.05579399141630903	0.0	233	31270
Arabidopsis thaliana	G2/M phase	5	AT3G15550	16.266453056168995	16.154865073336378	0.05579399141630903	0.07296137511730194	0.0	0.05579399141630903	0.0	233	31270
Arabidopsis thaliana	G2/M phase	6	AT1G18370	15.98634942668544	15.874761443852822	0.05579399141630903	0.06008584052324295	0.0	0.05579399141630903	0.0	233	31270
Arabidopsis thaliana	G2/M phase	7	AT3G03130	12.757937181763399	12.483323029241614	0.13730707626089267	0.18884125351905823	3.197953265043907e-05	0.1373390557939915	3.197953309881676e-05	233	31270
Arabidopsis thaliana	G2/M phase	8	AT4G33260	12.259493439045377	11.814548607171252	0.22247241593706224	3.4592275619506836	0.0009593858267180622	0.2231759656652362	0.0007035497281739683	233	31270
Arabidopsis thaliana	Root endodermis	1	AT4G16270	17.090016434056274	16.9707503790104	0.05963302752293578	0.12844036519527435	0.0	0.05963302752293578	0.0	218	31285
Arabidopsis thaliana	Root endodermis	2	AT5G20270	16.75127027768271	16.622829910710234	0.06422018348623854	0.10091741383075714	0.0	0.06422018348623854	0.0	218	31285
Arabidopsis thaliana	Root endodermis	3	AthLNC008721	16.61376854563459	16.48532817866211	0.06422018348623854	0.09174312651157379	0.0	0.06422018348623854	0.0	218	31285
Arabidopsis thaliana	Root endodermis	4	AT1G71740	12.624840783290592	12.478115720865096	0.07336253121274815	0.18807338178157806	3.196419856976718e-05	0.07339449541284404	3.19642000958926e-05	218	31285
Arabidopsis thaliana	Root endodermis	5	AT5G51680	12.41886635501616	12.290489916443875	0.06418821928614264	0.1651376187801361	3.196419856976718e-05	0.06422018348623854	3.19642000958926e-05	218	31285
Arabidopsis thaliana	Root endodermis	6	AT3G24020	12.140511757279384	11.97550199940087	0.08250487893925776	0.2614678740501404	6.392839713953435e-05	0.08256880733944955	6.39284001917852e-05	218	31285
Arabidopsis thaliana	Root endodermis	7	AT2G44480	11.663243788938917	11.534931278766823	0.06415625508604675	0.19266052544116974	6.392839713953435e-05	0.06422018348623854	6.39284001917852e-05	218	31285
Arabidopsis thaliana	Root endodermis	8	AT5G24080	11.62847864322917	11.500166133057077	0.06415625508604675	0.18807338178157806	6.392839713953435e-05	0.06422018348623854	6.39284001917852e-05	218	31285
Gossypium hirsutum	Outer pigment layer	1	Ghir-A04G014810	4.368286419417388	4.154298323133812	0.10699404814178833	0.2809083163738251	0.015775030478835106	0.11434171839268437	0.007347670250896042	9183	22320
Gossypium hirsutum	Outer pigment layer	2	Ghir-A05G024890	4.17927203438435	4.039055071998266	0.07010848119304157	0.19886450469493866	0.012096140533685684	0.0755744310138301	0.005465949820788527	9183	22320
Gossypium hirsutum	Outer pigment layer	3	Ghir-A05G007360	4.164483182966138	3.979667007916165	0.09240808752498628	0.2366926372051239	0.015002322383224964	0.09953174343896476	0.007123655913978481	9183	22320
Gossypium hirsutum	Outer pigment layer	4	Ghir-D12G019530	4.086618215796286	3.8668753587872455	0.10987142850452054	0.28356876969337463	0.0194353386759758	0.11869759337907249	0.008826164874551947	9183	22320
Gossypium hirsutum	Outer pigment layer	5	Ghir-A07G023810	4.080482287425485	3.873064068392883	0.10370910951630098	0.2968122065067291	0.020255982875823975	0.11249047152346942	0.008781362007168435	9183	22320
Gossypium hirsutum	Outer pigment layer	6	Ghir-D10G020630	4.077007886966054	3.803926667461562	0.1365406097522461	0.347757488489151	0.024897988885641098	0.1480997495371923	0.011559139784946196	9183	22320
Gossypium hirsutum	Outer pigment layer	7	Ghir-A10G019060	4.073285599427046	3.847648611256988	0.11281849408502889	0.28311654925346375	0.019664688035845757	0.12218229336818298	0.009363799283154095	9183	22320
Gossypium hirsutum	Outer pigment layer	8	Ghir-D10G013420	4.057243788094621	3.7424045983341956	0.15741959488021293	0.4457283914089203	0.0333029106259346	0.17238375258630606	0.014964157706093129	9183	22320
Gossypium hirsutum	Epidermis	1	Ghir-A12G002590	6.243991843788955	6.076087371351375	0.08395223621879033	0.13617898523807526	0.002017499879002571	0.08485155195681575	0.0008993157380254154	5928	25575
Gossypium hirsutum	Epidermis	2	Ghir-A10G010670	5.944976757702253	5.7780352781291935	0.0834707397865299	0.15686677396297455	0.0028577211778610945	0.0846828609986511	0.0012121212121212121	5928	25575
Gossypium hirsutum	Epidermis	3	Ghir-A07G022690	5.91826363889272	5.652976458614027	0.1326435901393459	0.3054320216178894	0.00606916518881917	0.13545883940620806	0.00281524926686217	5928	25575
Gossypium hirsutum	Epidermis	4	Ghir-A10G024690	5.911632959130334	5.779075386538805	0.0662787862957647	0.10944506525993347	0.001992081757634878	0.06713900134952813	0.0008602150537634409	5928	25575
