label_key	label	rank	gene	score	log2fc	mean_in	mean_out	detection_in	detection_out	n_cells_in	n_cells_out
cell_type	Columella root cap	1	AT5G02380	1.5044695138931274	2.847292184829712	2.5428199768066406	0.352480947971344	0.6397849321365356	0.11139889061450958	1302	34363
cell_type	Columella root cap	2	AT2G04025	1.2991318702697754	5.876279830932617	0.7582195401191711	0.011925010941922665	0.22503840923309326	0.003957745153456926	1302	34363
cell_type	Columella root cap	3	AT2G36950	0.8489435911178589	1.9339241981506348	2.031414031982422	0.5309159159660339	0.6036866307258606	0.16471204161643982	1302	34363
cell_type	Columella root cap	4	AT3G20840	0.7751506567001343	5.15822696685791	0.4219471216201782	0.010844182223081589	0.15437787771224976	0.004103250801563263	1302	34363
cell_type	Columella root cap	5	AT3G45730	0.762669026851654	3.296443462371826	0.7255162596702576	0.07294638454914093	0.25883257389068604	0.027471408247947693	1302	34363
cell_type	G1/G0 phase	1	ATCG00790	1.973498821258545	2.992196559906006	3.235337734222412	0.4057363271713257	0.7945736646652222	0.13502517342567444	516	35149
cell_type	G1/G0 phase	2	ATCG00740	1.9526309967041016	3.394824743270874	2.462836742401123	0.2332436591386795	0.6550387740135193	0.07986002415418625	516	35149
cell_type	G1/G0 phase	3	ATCG00170	1.9166932106018066	3.6693124771118164	2.1268718242645264	0.16625237464904785	0.5794573426246643	0.05709977447986603	516	35149
cell_type	G1/G0 phase	4	ATCG00800	1.9101682901382446	3.0869810581207275	2.8424599170684814	0.33363643288612366	0.7306201457977295	0.11183817684650421	516	35149
cell_type	G1/G0 phase	5	ATCG00770	1.863161325454712	3.3965060710906982	2.3090717792510986	0.2183689922094345	0.6240310072898865	0.07547867298126221	516	35149
cell_type	Lateral root cap	1	AT1G26820	3.025179147720337	5.740530490875244	2.000293493270874	0.03643164783716202	0.5384392142295837	0.011453225277364254	3447	32218
cell_type	Lateral root cap	2	AT3G16440	2.9497182369232178	4.086220741271973	3.738694429397583	0.2191714644432068	0.7867711186408997	0.06490160524845123	3447	32218
cell_type	Lateral root cap	3	AT1G15385	2.8712997436523438	4.243757724761963	2.594723701477051	0.1360124796628952	0.720916748046875	0.04432304948568344	3447	32218
cell_type	Lateral root cap	4	AT1G06090	2.831298589706421	4.234749794006348	3.290337085723877	0.17381781339645386	0.7217870354652405	0.053200073540210724	3447	32218
cell_type	Lateral root cap	5	AT5G55110	2.7435214519500732	4.052804946899414	2.510266065597534	0.15031321346759796	0.7270089983940125	0.05006518214941025	3447	32218
cell_type	Non-hair	1	AT1G65310	2.7421586513519287	4.369741916656494	2.6203880310058594	0.12579667568206787	0.6676714420318604	0.040138136595487595	2654	33011
cell_type	Non-hair	2	AT4G12545	2.5410025119781494	3.7424912452697754	3.0680465698242188	0.22829857468605042	0.7490580081939697	0.07009784877300262	2654	33011
cell_type	Non-hair	3	AT1G70850	2.0234296321868896	3.332911729812622	2.554704189300537	0.25263211131095886	0.6880180835723877	0.08091242611408234	2654	33011
cell_type	Non-hair	4	AT1G14960	1.9418607950210571	3.8338468074798584	1.9167176485061646	0.13348744809627533	0.5504898428916931	0.043985337018966675	2654	33011
cell_type	Non-hair	5	AT4G12550	1.8866629600524902	3.161574602127075	2.9715354442596436	0.33119896054267883	0.6966842412948608	0.09993638843297958	2654	33011
cell_type	Phloem	1	AT5G04080	4.445839881896973	7.177433967590332	2.2268691062927246	0.014390998519957066	0.6241610646247864	0.004741893149912357	447	35218
cell_type	Phloem	2	AT1G62380	3.213114023208618	5.0211262702941895	2.6721701622009277	0.08132219314575195	0.6666666865348816	0.0267476849257946	447	35218
cell_type	Phloem	3	AT2G46630	3.050929546356201	7.1540207862854	1.4852585792541504	0.009435649961233139	0.42953020334243774	0.003066613571718335	447	35218
cell_type	Phloem	4	AT1G79430	2.5453920364379883	7.071040630340576	1.0621669292449951	0.006906899157911539	0.3624161183834076	0.0024419331457465887	447	35218
cell_type	Phloem	5	AT5G59090	2.293177604675293	4.635342121124268	1.7914259433746338	0.07112140208482742	0.5167785286903381	0.022062581032514572	447	35218
cell_type	Root cap	1	AT1G54010	2.936662435531616	4.398071765899658	2.331249475479126	0.10961739718914032	0.7047750353813171	0.03705915808677673	2178	33487
cell_type	Root cap	2	AT5G10130	2.6519649028778076	3.634082555770874	2.813091278076172	0.2256576120853424	0.8030303120613098	0.0732821673154831	2178	33487
cell_type	Root cap	3	AT1G28290	2.634497880935669	3.340569496154785	3.5217981338500977	0.3467572033405304	0.89485764503479	0.10622032731771469	2178	33487
cell_type	Root cap	4	AT5G58784	2.3994228839874268	4.509356498718262	1.7330530881881714	0.07513964921236038	0.5573921203613281	0.025293396785855293	2178	33487
cell_type	Root cap	5	AT2G43610	2.254349946975708	2.8390114307403564	4.482410907745361	0.6255863904953003	0.96051424741745	0.16645264625549316	2178	33487
cell_type	Root cortex	1	AT1G12090	2.1166796684265137	3.7095487117767334	2.2902300357818604	0.17413915693759918	0.626617968082428	0.05601494386792183	3013	32652
cell_type	Root cortex	2	AT1G13930	1.7962702512741089	3.3447952270507812	2.2086269855499268	0.21648798882961273	0.6043810248374939	0.06734656542539597	3013	32652
cell_type	Root cortex	3	AT1G21310	1.6650350093841553	2.455268621444702	3.7434821128845215	0.6817823648452759	0.8698971271514893	0.19174936413764954	3013	32652
cell_type	Root cortex	4	AT5G13930	1.3623403310775757	2.940925121307373	1.9375100135803223	0.2514418661594391	0.5426484942436218	0.07941320538520813	3013	32652
cell_type	Root cortex	5	AT4G30170	1.3587621450424194	2.4312920570373535	2.509486198425293	0.46444249153137207	0.7046133279800415	0.14574910700321198	3013	32652
cell_type	Root endodermis	1	AT3G22620	3.147590160369873	4.340705871582031	3.17885160446167	0.1559365838766098	0.7733898758888245	0.04825661703944206	3773	31892
cell_type	Root endodermis	2	AT3G22600	2.8879661560058594	3.977809429168701	3.2179789543151855	0.20330460369586945	0.7887622714042664	0.06274300813674927	3773	31892
cell_type	Root endodermis	3	AT2G32300	2.8632631301879883	4.828229904174805	2.252692699432373	0.07833277434110641	0.6175457239151001	0.024520255625247955	3773	31892
cell_type	Root endodermis	4	AT2G28670	2.536210060119629	4.291459560394287	2.567269802093506	0.1301543265581131	0.6310628056526184	0.04007274657487869	3773	31892
cell_type	Root endodermis	5	AT5G15290	2.462292194366455	5.173700332641602	1.8176333904266357	0.049385569989681244	0.4919162392616272	0.015991471707820892	3773	31892
cell_type	Root hair	1	AT3G54580	1.732917308807373	3.3267760276794434	2.1373140811920166	0.21211408078670502	0.5851784944534302	0.06427862495183945	4426	31239
cell_type	Root hair	2	AT1G30870	1.6803051233291626	3.9816653728485107	1.5212305784225464	0.09535621851682663	0.4521012306213379	0.030090592801570892	4426	31239
cell_type	Root hair	3	AT3G09925	1.6021944284439087	3.9552125930786133	1.4400376081466675	0.09190470725297928	0.4335743188858032	0.028490029275417328	4426	31239
cell_type	Root hair	4	AT3G54590	1.5865923166275024	3.545872688293457	1.7596783638000488	0.14975300431251526	0.49344781041145325	0.04600019380450249	4426	31239
cell_type	Root hair	5	AT3G62680	1.5795892477035522	3.7004547119140625	1.6891405582427979	0.1290094554424286	0.46610936522483826	0.039245814085006714	4426	31239
cell_type	Root stele	1	AT4G11210	2.272092342376709	3.839675188064575	2.53639817237854	0.17622753977775574	0.6439592242240906	0.05221842974424362	3435	32230
cell_type	Root stele	2	AT2G02130	2.247849464416504	4.156124114990234	2.257192611694336	0.1256609857082367	0.5784570574760437	0.037604715675115585	3435	32230
cell_type	Root stele	3	AT1G12080	2.0427236557006836	3.5288333892822266	2.6800014972686768	0.23128028213977814	0.6462882161140442	0.06742165982723236	3435	32230
cell_type	Root stele	4	AT4G14130	1.5604541301727295	4.25583028793335	1.26737642288208	0.06539196521043777	0.38748180866241455	0.02081911265850067	3435	32230
cell_type	Root stele	5	AT3G59370	1.5353330373764038	3.833889961242676	1.7090356349945068	0.11891935020685196	0.43493449687957764	0.03447099030017853	3435	32230
cell_type	S phase	1	AT5G15200	1.9205048084259033	3.0526936054229736	2.509359121322632	0.3015404939651489	0.7277801632881165	0.0986621081829071	2329	33336
cell_type	S phase	2	AT5G20290	1.8438160419464111	2.950472116470337	2.5335874557495117	0.3268888592720032	0.7320738434791565	0.10715142637491226	2329	33336
cell_type	S phase	3	AT3G60245	1.8206268548965454	3.008338689804077	2.424473762512207	0.3004368841648102	0.7037355303764343	0.09854211658239365	2329	33336
cell_type	S phase	4	AT5G16130	1.808166265487671	3.5493147373199463	1.7227195501327515	0.1462368220090866	0.5598969459533691	0.0504559651017189	2329	33336
cell_type	S phase	5	AT4G16720	1.7909860610961914	3.384398937225342	1.838301181793213	0.17513564229011536	0.5890940427780151	0.05990520864725113	2329	33336
cell_type	Unknow	1	AT2G43820	0.45784616470336914	1.909935712814331	1.2388970851898193	0.32894209027290344	0.34442663192749023	0.10470851510763168	7482	28183
cell_type	Unknow	2	AT2G29440	0.3530179560184479	1.2080391645431519	2.0801587104797363	0.899843156337738	0.5577386021614075	0.26551467180252075	7482	28183
cell_type	Unknow	3	AT2G29450	0.33946385979652405	1.1748933792114258	2.1613659858703613	0.9567475318908691	0.5753809213638306	0.28644928336143494	7482	28183
cell_type	Unknow	4	AT1G43160	0.29436588287353516	1.4632456302642822	1.1294983625411987	0.40900498628616333	0.3319967985153198	0.13082355260849	7482	28183
cell_type	Unknow	5	AT3G50970	0.2769272029399872	0.9783723950386047	2.7379047870635986	1.389136552810669	0.6646618843078613	0.38161301612854004	7482	28183
cell_type	Xylem	1	AT5G03170	3.444248914718628	7.1425700187683105	1.595463514328003	0.010298770852386951	0.48567119240760803	0.0034569452982395887	663	35002
cell_type	Xylem	2	AT1G20850	2.7079555988311768	5.842593193054199	2.0467772483825684	0.03468509763479233	0.4751131236553192	0.011627906933426857	663	35002
cell_type	Xylem	3	AT5G16490	2.488999843597412	7.410231590270996	1.1964977979660034	0.006040000822395086	0.3378582298755646	0.001971315825358033	663	35002
cell_type	Xylem	4	AT1G08283	2.4151949882507324	6.265928268432617	1.2719535827636719	0.015541701577603817	0.39064857363700867	0.005199702922254801	663	35002
cell_type	Xylem	5	AT4G23690	2.319791793823242	3.6592347621917725	2.72594952583313	0.21484284102916718	0.7028657793998718	0.06891034543514252	663	35002
