accession	discovered_dataset_id	suggested_dataset_id	organism	title	priority	score	matrix_file_count	file_type_counts	promotion_status	reason	recommended_downloader	source_url	geo_page_url
GSE182507	discovered_gse182507	geo_gse182507_medicago_truncatula_single_cell_rna_sequencing_medicago	Medicago truncatula	Single-cell RNA sequencing of Medicago truncatula roots after exposure to Ensifer meliloti (formerly Sinorhizobium meliloti)	A	8	1	mtx_archive:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182507	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182507
GSE196882	discovered_gse196882	geo_gse196882_zea_mays_spatial_transcriptomics_maize_embryonic_leaves	Zea mays	Spatial transcriptomics of maize embryonic leaves	A	8	1	archive:2;mtx_archive:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196882	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196882
GSE210881	discovered_gse210881	geo_gse210881_medicago_truncatula_gene_expression_profile_at_single	Medicago truncatula	Gene expression profile at single cell level of Medicago truncatula roots in response to rhizobia infection	A	8	1	seurat_rds:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_rds_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210881	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210881
GSE226149	discovered_gse226149	geo_gse226149_glycine_max_gene_expression_profile_at_single	Glycine max	Gene expression profile at single cell level from Glycine max nodules and roots.	A	8	1	mtx_archive:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226149	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226149
GSE303996	discovered_gse303996	geo_gse303996_arabidopsis_thaliana_histone_deacetylases_cell_cycle_regulators	Arabidopsis thaliana	Histone deacetylases and cell cycle regulators orchestrate cell identity transitions during Arabidopsis root regeneration	A	7	17	mtx_archive:1;seurat_rds:16	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303996	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303996
GSE273033	discovered_gse273033	geo_gse273033_arabidopsis_thaliana_dual_spatially_resolved_drought_responses	Arabidopsis thaliana	Dual and spatially resolved drought responses in the Arabidopsis leaf mesophyll revealed by single-cell transcriptomics	A	7	2	mtx_archive:1;seurat_rds:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273033	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273033
GSE308672	discovered_gse308672	geo_gse308672_arabidopsis_thaliana_discrete_cell_specific_hypoxic_responses	Arabidopsis thaliana	Discrete and cell-specific hypoxic responses in Arabidopsis roots resolved by single-nuclei transcriptomics	A	7	2	mtx_archive:1;seurat_rds:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308672	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308672
GSE220277	discovered_gse220277	geo_gse220277_arabidopsis_drought_recovery_plants_triggers_a	Arabidopsis	Drought Recovery in Plants Triggers a Cell-State Specific Immune Activation [snRNA-Seq]	A	7	1	mtx_archive:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220277	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220277
GSE267159	discovered_gse267159	geo_gse267159_populus_trichocarpa_single_cell_spatial_multi_omics	Populus trichocarpa	Single-Cell and Spatial Multi-Omics Reveal Mechanical Stress Driving Heterogeneous Xylem Development in Populus [Single-cell RNA-seq]	A	7	1	mtx_archive:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267159	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267159
GSE283835	discovered_gse283835	geo_gse283835_populus_tremula_single_nuclei_transcriptomic_bulk_rna	Populus tremula x Populus alba	Single nuclei transcriptomic and bulk RNA-seq of Populus tremula x alba stem under well-watering and severe drought conditions	A	7	1	metadata_table:1;mtx_archive:1	PROMOTE_DOWNLOAD_CANDIDATE	Plant-like GEO record with download-ready supplementary matrix files.	download_geo_raw_tar_mtx_subset.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283835	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283835
