accession	dataset_id	species	tissue	title	file_type_counts	downloader_script	wrapper_script	queue_session	manifest	log_path	source_url
GSE224928	geo_gse224928_arabidopsis_thaliana_transcriptome_radially_growing_arabidopsis_wild	Arabidopsis thaliana	public_discovery	Transcriptome of radially growing Arabidopsis wild type and d14 mutant hypocotyls with single cell resolution revealed by nucleus RNA-seq using 10x Chomium and VASA-seq	metadata_table:6;mtx_archive:1;seurat_rds:3	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse224928_geo_gse224928_arabidopsis_thaliana_transcriptome_radially_growing_arabidopsis_wi.sh	snowcell_geo_promotion_gse224928	data/corpus_manifest.gse224928.tsv	logs/geo_promotion_gse224928.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224928
GSE155304	geo_gse155304_arabidopsis_thaliana_single_cell_level_analysis_arabidopsis	Arabidopsis thaliana	root	Single cell level analysis of the Arabidopsis root transcriptome and chromatin accessibility	metadata_table:3;mtx_archive:1;seurat_rds:2	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse155304_geo_gse155304_arabidopsis_thaliana_single_cell_level_analysis_arabidopsis.sh	snowcell_geo_promotion_gse155304	data/corpus_manifest.gse155304.tsv	logs/geo_promotion_gse155304.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155304
GSE123013	geo_gse123013_arabidopsis_thaliana_single_cell_rna_sequencing_analysis	Arabidopsis thaliana	root	Single-cell RNA-sequencing analysis of Arabidopsis roots	metadata_table:1;mtx_archive:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse123013_geo_gse123013_arabidopsis_thaliana_single_cell_rna_sequencing_analysis.sh	snowcell_geo_promotion_gse123013	data/corpus_manifest.gse123013.tsv	logs/geo_promotion_gse123013.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123013
GSE138526	geo_gse138526_zea_mays_high_throughput_single_cell_rna	Zea mays	public_discovery	High-Throughput Single cell RNA sequencing of Mesophyll cells from Maize	mtx_archive:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse138526_geo_gse138526_zea_mays_high_throughput_single_cell_rna.sh	snowcell_geo_promotion_gse138526	data/corpus_manifest.gse138526.tsv	logs/geo_promotion_gse138526.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138526
GSE181999	geo_gse181999_arabidopsis_thaliana_an_arabidopsis_root_phloem_pole	Arabidopsis thaliana	root	An Arabidopsis root phloem pole cell atlas reveals PINEAPPLE genes as transitioners to autotrophy [10x scRNA-seq]	mtx_archive:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse181999_geo_gse181999_arabidopsis_thaliana_an_arabidopsis_root_phloem_pole.sh	snowcell_geo_promotion_gse181999	data/corpus_manifest.gse181999.tsv	logs/geo_promotion_gse181999.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181999
GSE182507	geo_gse182507_medicago_truncatula_single_cell_rna_sequencing_medicago	Medicago truncatula	root	Single-cell RNA sequencing of Medicago truncatula roots after exposure to Ensifer meliloti (formerly Sinorhizobium meliloti)	mtx_archive:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse182507_geo_gse182507_medicago_truncatula_single_cell_rna_sequencing_medicago.sh	snowcell_geo_promotion_gse182507	data/corpus_manifest.gse182507.tsv	logs/geo_promotion_gse182507.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182507
GSE196882	geo_gse196882_zea_mays_spatial_transcriptomics_maize_embryonic_leaves	Zea mays	leaf	Spatial transcriptomics of maize embryonic leaves	archive:2;mtx_archive:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse196882_geo_gse196882_zea_mays_spatial_transcriptomics_maize_embryonic_leaves.sh	snowcell_geo_promotion_gse196882	data/corpus_manifest.gse196882.tsv	logs/geo_promotion_gse196882.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196882
GSE210881	geo_gse210881_medicago_truncatula_gene_expression_profile_at_single	Medicago truncatula	root	Gene expression profile at single cell level of Medicago truncatula roots in response to rhizobia infection	seurat_rds:1	download_geo_page_rds_subset.sh	scripts/generated_geo_promotion_downloads/download_gse210881_geo_gse210881_medicago_truncatula_gene_expression_profile_at_single.sh	snowcell_geo_promotion_gse210881	data/corpus_manifest.gse210881.tsv	logs/geo_promotion_gse210881.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210881
GSE226149	geo_gse226149_glycine_max_gene_expression_profile_at_single	Glycine max	root	Gene expression profile at single cell level from Glycine max nodules and roots.	mtx_archive:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse226149_geo_gse226149_glycine_max_gene_expression_profile_at_single.sh	snowcell_geo_promotion_gse226149	data/corpus_manifest.gse226149.tsv	logs/geo_promotion_gse226149.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226149
GSE273033	geo_gse273033_arabidopsis_thaliana_dual_spatially_resolved_drought_responses	Arabidopsis thaliana	leaf	Dual and spatially resolved drought responses in the Arabidopsis leaf mesophyll revealed by single-cell transcriptomics	mtx_archive:1;seurat_rds:1	download_geo_raw_tar_mtx_subset.sh	scripts/generated_geo_promotion_downloads/download_gse273033_geo_gse273033_arabidopsis_thaliana_dual_spatially_resolved_drought_responses.sh	snowcell_geo_promotion_gse273033	data/corpus_manifest.gse273033.tsv	logs/geo_promotion_gse273033.log	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273033
