dataset_id	species	tissue_or_scope	priority	status	accession	source_url	page_url	fetch_status	file_count	file_type_counts	matrix_file_count	candidate_files	recommended_action	download_ready	error
arabidopsis_root_atlas	Arabidopsis thaliana	root	A	download_candidate	GSE152766	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766	ok	33	mtx_archive:1;seurat_rds:32	33	GSE152766_Columella_Atlas.rds.gz;GSE152766_Epidermis_LRC_Atlas.rds.gz;GSE152766_Ground_Tissue_Atlas.rds.gz;GSE152766_RAW.tar;GSE152766_Root_Atlas.rds.gz;GSE152766_Root_Atlas_seu4.rds.gz;GSE152766_Root_Atlas_spliced_unspliced_raw_counts.rds.gz;GSE152766_Stele_Atlas.rds.gz;GSE152766_col0_COPILOT.rds.gz;GSE152766_dc1_COPILOT.rds.gz;GSE152766_dc2_COPILOT.rds.gz;GSE152766_pp1_COPILOT.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
arabidopsis_lifecycle_spatial_atlas	Arabidopsis thaliana	whole life cycle; multiple organs	A	download_candidate	GSE226097	https://www.nature.com/articles/s41477-025-02072-z	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226097	ok	29	seurat_rds:29	29	GSE226097_221121_curio_seed_seurat.rds.gz;GSE226097_flower_250805.rds;GSE226097_flower_relaxed_220706.rds;GSE226097_global_integration_221009.rds;GSE226097_hook_Col_hls1_integrated_250221.rds;GSE226097_relaxed_global_integration_221122.rds;GSE226097_rosette_21d_230221.rds.gz;GSE226097_rosette_21d_relaxed_220713.rds;GSE226097_rosette_30d_230221.rds.gz;GSE226097_rosette_30d_relaxed_220706.rds;GSE226097_rosette_merge_220824.rds;GSE226097_seed_0d_230221.rds.gz	download Seurat RDS; export with export_seurat_rds_to_mtx.R; build NPZ manifest	True	
discovered_gse303996	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE303996	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303996	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303996	ok	17	mtx_archive:1;seurat_rds:16	17	GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_Normalised_ATAC.rds;GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_Normalised_ATAC_Accessibility_Macs2_peaksNarrowPerCell.rds;GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_RawATAC_Counts_Macs2_peaksNarrowPerCell.rds;GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_Raw_ATAC_Counts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_36h_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_36h_SCTREF_Annotated_RawCounts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Curcumin_treatment_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Curcumin_treatment_SCTREF_Annotated_RawCounts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Roscovitine_SCTREF_Annotated_RawCounts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Roscovitine_treatment_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_TSA_treatment_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_TSA_treatment_SCTREF_Annotated_RawCounts.rds	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
rice_soil_stress_root_atlas	Oryza sativa	roots under gel, soil, and compacted soil	A	download_candidate	GSE251706	https://www.nature.com/articles/s41586-025-08941-z	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE251706	ok	7	mtx_archive:1;seurat_rds:6	7	GSE251706_RAW.tar;GSE251706_Rice_12S_WT_atlas_seu3.rds.gz;GSE251706_Rice_4S_XKit_Kit_NC_20241025_seu3.rds.gz;GSE251706_Rice_8S_gel_soil_seu3.rds.gz;GSE251706_Rice_9S_gel_soil_WT_XK_K_20240730_seu3.rds.gz;GSE251706_tz1_COPILOT.rds.gz;GSE251706_tz2_COPILOT.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
maize_easy_multiome_seedling	Zea mays	seedling	B	download_candidate	GSE338572	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338572	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338572	ok	3	mtx_archive:1;seurat_rds:2	3	GSE338572_AH15AH17_eMultiATAC_Zm_seedling_cpm4_ACR_sparse.rds;GSE338572_AH15AH17_eMultiRNA_Zm_seedling.MergedSeuratObjs.cluster.RDS;GSE338572_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse201931	Solanum lycopersicum	public discovery candidate	A	ncbi_discovery_candidate	GSE201931	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201931	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201931	ok	6	metadata_table:4;mtx_component:2	2	GSE201931_V0_barcodes.tsv.gz;GSE201931_V0_features.tsv.gz;GSE201931_V0_matrix.mtx.gz;GSE201931_barcodes.tsv.gz;GSE201931_features.tsv.gz;GSE201931_matrix.mtx.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse273033	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE273033	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273033	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273033	ok	2	mtx_archive:1;seurat_rds:1	2	GSE273033_RAW.tar;GSE273033_seuratObj_for_publication.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse308672	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE308672	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308672	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308672	ok	2	mtx_archive:1;seurat_rds:1	2	GSE308672_AtRootHypoxiaIntegrated.rds;GSE308672_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
rice_leaf_stress_snuc_atlas	Oryza sativa	leaf drought and salinity stress	A	download_candidate	GSE313726	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313726	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313726	ok	2	mtx_archive:1;seurat_rds:1	2	GSE313726_OsLeafStressIntegrated.rds;GSE313726_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
arabidopsis_callus_regeneration_scrna	Arabidopsis thaliana	calli after 7 and 12 days on callus-inducing medium	B	download_candidate	GSE234192	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234192	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234192	ok	2	mtx_archive:1;seurat_rds:1	2	GSE234192_RAW.tar;GSE234192_processed.rds	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
