query_label	db	uid	accession	title	organism	sample_count	publication_date	url	priority	score	recommended_action	matched_queries	summary
saussurea_transcriptome_sra	sra	36468226	PRJEB82787			"<Run acc=""ERR14041216"" total_spots=""6877250"" total_bases=""1351914917"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>"	2024/12/06	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB82787	A	9	Snow Lotus evidence layer; use for genome/transcriptome/stress support	saussurea_alpine_evidence_sra;saussurea_transcriptome_sra	"<Summary><Title>WGS data, Illumina HISEQ2000 sequencing</Title><Platform instrument_model=""Illumina HiSeq 2000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""6877250"" total_bases=""1351914917"" total_size=""1013165806"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""ERA31015253"" center_name=""Genoscope"" contact_name=""European Nucleotide Archive"" lab_name=""European Nucleotide Archive""/><Experiment acc=""ERX13444229"" ver=""1"" status=""public"" name=""WGS data, Illumina HISEQ2000 sequencing""/><Study acc=""ERP166455"" name=""5107 genome skims from the Alpine vascular flora""/><Organism taxid=""143208"" ScientificName=""Saussurea alpina""/><Sample acc=""ERS22436863"" name=""""/><Instrument ILLUMINA=""Illumina HiSeq 2000""/><Library_descriptor><LIBRARY_NAME>BGN_GPD_W</LIBRARY_NAME><LIBRARY_STRATEGY>WGS</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>RAND..."
saussurea_transcriptome_sra	sra	30463735	PRJNA1033840			"<Run acc=""SRR26779311"" total_spots=""21452944"" total_bases=""6435883200"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>"	2023/11/09	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1033840	A	9	Snow Lotus evidence layer; use for genome/transcriptome/stress support	saussurea_alpine_evidence_sra;saussurea_transcriptome_sra	"<Summary><Title>RNA-seq of Saussurea involucrata treated with freezing temperature</Title><Platform instrument_model=""DNBSEQ-T7"">DNBSEQ</Platform><Statistics total_runs=""1"" total_spots=""21452944"" total_bases=""6435883200"" total_size=""4275878138"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1748502"" center_name=""IMPLAD, Chinese Academy of Medical Sciences &amp; Peki"" contact_name=""shun xing guo"" lab_name=""Biotechnology Center""/><Experiment acc=""SRX22477946"" ver=""1"" status=""public"" name=""RNA-seq of Saussurea involucrata treated with freezing temperature""/><Study acc=""SRP471101"" name=""Transcriptome on Saussurea involucrata in response to low-temperature stress""/><Organism taxid=""200489"" ScientificName=""Saussurea involucrata""/><Sample acc=""SRS19491622"" name=""""/><Instrument DNBSEQ=""DNBSEQ-T7""/><Library_descriptor><LIBRARY_NAME>Freezing3</LIBRARY_NAME><LIBRARY_STRATEG..."
saussurea_transcriptome_sra	sra	33190409	PRJNA1121965			"<Run acc=""SRR29340170"" total_spots=""21172315"" total_bases=""6351694500"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>"	2025/08/21	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1121965	A	9	Snow Lotus evidence layer; use for genome/transcriptome/stress support	saussurea_alpine_evidence_sra;saussurea_transcriptome_sra	"<Summary><Title>RNA-Seq</Title><Platform instrument_model=""BGISEQ-500"">BGISEQ</Platform><Statistics total_runs=""1"" total_spots=""21172315"" total_bases=""6351694500"" total_size=""3968713954"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1893476"" center_name=""Jilin University"" contact_name=""Zhongzan Yang"" lab_name=""College of life sciences""/><Experiment acc=""SRX24856069"" ver=""1"" status=""public"" name=""RNA-Seq""/><Study acc=""SRP512823"" name=""Unveiling the Secrets of Plant Adaptations in Alpine Tundra""/><Organism taxid=""446851"" ScientificName=""Saussurea tomentosa""/><Sample acc=""SRS21566847"" name=""""/><Instrument BGISEQ=""BGISEQ-500""/><Library_descriptor><LIBRARY_NAME>A_GLFM_1</LIBRARY_NAME><LIBRARY_STRATEGY>RNA-Seq</LIBRARY_STRATEGY><LIBRARY_SOURCE>TRANSCRIPTOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>RANDOM</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT></Librar..."
saussurea_transcriptome_sra	sra	37124676	PRJNA1218246			"<Run acc=""SRR32195153"" total_spots=""21085075"" total_bases=""6325522500"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>"	2025/03/05	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1218246	A	9	Snow Lotus evidence layer; use for genome/transcriptome/stress support	saussurea_alpine_evidence_sra;saussurea_transcriptome_sra	"<Summary><Title>RNA-seq of Saussurea involucrata:hypobaric hypoxic</Title><Platform instrument_model=""Illumina NovaSeq X"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""21085075"" total_bases=""6325522500"" total_size=""1891369491"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2066791"" center_name=""Shanxi University of Chinese Medicine"" contact_name=""Xinyu Quan"" lab_name=""Co-Construction Collaborative Innovation Center fo""/><Experiment acc=""SRX27536699"" ver=""1"" status=""public"" name=""RNA-seq of Saussurea involucrata:hypobaric hypoxic""/><Study acc=""SRP561024"" name=""Integrated transcriptome and metabolome analysis revealed the low pressure regulation in Saussurea involucrata leaves""/><Organism taxid=""200489"" ScientificName=""Saussurea involucrata""/><Sample acc=""SRS23953186"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq X""/><Library_descriptor><LIBRARY_NAME..."
plant_single_cell_gds	gds	200123013	GSE123013	Single-cell RNA-sequencing analysis of Arabidopsis roots	Arabidopsis thaliana	5	2019/02/05	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123013	A	8	fetch GEO supplementary filelist; add downloader if matrix/RDS/H5 exists	plant_single_cell_gds	We report the use of high-throughput single-cell RNA sequencing (scRNA-seq) to analyze gene expression in wild-type and mutant Arabidopsis root cells. We demonstrate that using a commercially available platform for droplet-based scRNA-seq (10X Genomics Chromium) enables transcriptional profiling of individual protoplasts representing all of the major cell/tissue types of the root. Furthermore, rare cell types and subtypes have been identified. These single-cell transcriptomes were also used to generate a pseudotime series for the root hair and non-hair cell differentiation pathways. In addition, scRNA-seq was used to define and compare transcriptomes from root epidermis mutants, which enabled a detailed molecular analysis of the mutant phenotype. This study demonstrates the feasibility and usefulness of scRNA-seq in plants and provides a gene expression map at single-cell resolution f...
plant_single_cell_gds	gds	200138526	GSE138526	High-Throughput Single cell RNA sequencing of Mesophyll cells from Maize	Zea mays	1	2021/10/07	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138526	A	8	fetch GEO supplementary filelist; add downloader if matrix/RDS/H5 exists	plant_single_cell_gds	We report the use of high-throughput single-cell RNA sequencing (scRNA-seq) to analyze gene expression in Mesophyll cells from Maize. We using the 10x genomics platform to generate several millions of RNA-seq reads and enable transcriptional profiling of all genes of maize in a single-cell resolution. Tsne methods was used to perform dimension reduction analysis to visualize cells in a two-dimension axis.
plant_single_cell_gds	gds	200155304	GSE155304	Single cell level analysis of the Arabidopsis root transcriptome and chromatin accessibility	Arabidopsis thaliana	9	2021/01/11	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155304	A	8	fetch GEO supplementary filelist; add downloader if matrix/RDS/H5 exists	plant_single_cell_gds	The nuclei of Arabidopsis root seedlings were isolated then use to establish a single cell level resolution transcriptome (sNucRNA-seq) and profile of chromatin accessibility (sNucATAC-seq) applying 10X Genomics technologies.
plant_single_cell_gds	gds	200161040	GSE161040	Sertoli cells are the unique source of stem cell factor for spermatogenesis	Mus musculus	3	2023/03/02	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161040	A	8	fetch GEO supplementary filelist; add downloader if matrix/RDS/H5 exists	plant_single_cell_gds	To systematically investigate the expression patterns of all potential niche factors in testis, we performed single-cell RNA sequencing (scRNA-seq) of all testicular somatic cell types. To enrich somatic cells, we depleted Tomato+ cells from the testes of 2-month-old Ddx4-creER; R26tdTomato mice at 4 weeks after tamoxifen treatment. Then the cells were further captured with 10x Genomics platform. After analysis of the integrated data, we mapped the expression patterns of all known niche factors in testicular somatic cells. We also performed scRNA-seq of testicular cells from 6-week-old control and Amh-cre;Scf fl/fl mice to study the effect of Scf conditional knockout from Sertoli cells on spermatogenesis. By scRNA-seq data analysis, we found that conditional knockout of Scf from Sertoli cells blocks spermatogenesis by depleting differentiating spermatogonia
plant_single_cell_gds	gds	200181999	GSE181999	An Arabidopsis root phloem pole cell atlas reveals PINEAPPLE genes as transitioners to autotrophy [10x scRNA-seq]	Arabidopsis thaliana	6	2022/04/29	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181999	A	8	fetch GEO supplementary filelist; add downloader if matrix/RDS/H5 exists	plant_single_cell_gds	Single cell sequencing has recently allowed the generation of exhaustive root cell atlases. However, some cell types are elusive and remain underrepresented. Here, we use a second-generation single cell approach, where we zoom in on the root transcriptome by sorting cells with specific markers, to profile the phloem poles at an unprecedented resolution. Our data highlight the similarities among the developmental trajectories and gene regulatory networks communal to protophloem sieve element (PSE) adjacent lineages in relation to PSE enucleation, a key event in phloem biology. As a signature for early PSE-adjacent lineages, we have identified a set of DNA-binding with one finger (DOF) transcription factors, the PINEAPPLEs (PAPL), that act downstream of PHLOEM EARLY DOF (PEAR) genes, and are important to guarantee a proper root nutrition in the transition to autotrophy. Our data provide...
woody_legume_cereal_single_cell_gds	gds	200182507	GSE182507	Single-cell RNA sequencing of Medicago truncatula roots after exposure to Ensifer meliloti (formerly Sinorhizobium meliloti)	Medicago truncatula	2	2025/08/01	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182507	A	8	fetch GEO supplementary filelist; add downloader if matrix/RDS/H5 exists	medicinal_secondary_metabolism_single_cell;woody_legume_cereal_single_cell_gds	Single-cell RNA sequencing of Medicago truncatula roots was generated from nuclei using the 10X Genomics' Chromium technology. Roots were harvested and processed 24h after exposure to Ensifer meliloti (formerly Sinorhizobium meliloti).
