dataset	bioproject	species	tissue	libraries	age	experiments	cells	conditions	genotypes	pmid	article	picname	h5ad_gz_url	rds_gz_url	csv_gz_url	cellxgene_url
CRA002977_1	PRJCA003094	Arabidopsis thaliana	True leaf	10x Genomics	18 days old plant	1	10947	Normal	Col-0	33725481	Zhang TQ, et al. Dev Cell 2021	CRA002977_1_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_1.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_1.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_1.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/CRA002977_1.h5ad
CRA002977_2	PRJCA003094	Arabidopsis thaliana	Vegetative shoot apex	10x Genomics	7 days old seedling; 14 days old plant	3	63034	Normal	Col-0	33725481	Zhang TQ, et al. Dev Cell 2021	CRA002977_2_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_2.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_2.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_2.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/CRA002977_2.h5ad
DRP009643	PRJDB14071	Arabidopsis thaliana	Rosette leaf	10x Genomics	3-4 weeks old plant	1	15400	Normal	Col-0	36440710	Maeda T, et al. Plant Cell Physiol 2023	DRP009643_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/DRP009643.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/DRP009643.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/DRP009643.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/DRP009643.h5ad
ERP132245	PRJEB47924 	Arabidopsis thaliana	True leaf	10x Genomics	14 days after stratification	2	2018	Normal;Mild drought	Col-0	34687312	Tenorio Berrio R, et al. Plant Physiol 2022	ERP132245_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/ERP132245.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/ERP132245.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/ERP132245.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/ERP132245.h5ad
SRP065494	PRJNA300543	Arabidopsis thaliana	Root stele cell	Smart-seq2	7 days old seedling	1	206	Normal	/	27212234	Efroni I, et al. Cell 2016	/	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP065494.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP065494.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP065494.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/SRP065494.h5ad
SRP148288	PRJNA471914	Arabidopsis thaliana	Whole root	Drop-seq	8 days old seedling	6	24369	Induced with estradiol;Normal	Col-0 (T3 pMDC7:VND7);Col-0 (T3 pMDC7:MYB46);Col-0 (T3 pMDC7:MYB83)	31291572	Turco GM, et al. Cell Rep 2019	SRP148288_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP148288.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP148288.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP148288.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/SRP148288.h5ad
SRP166333	PRJNA497883	Arabidopsis thaliana	Whole root	10x Genomics	7 days old seedling	3	16949	Normal;Heat shock	Col-0	30923229	Jean-Baptiste K, et al. Plant Cell 2019	SRP166333_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP166333.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP166333.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP166333.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/SRP166333.h5ad
SRP169576	PRJNA506007	Arabidopsis thaliana	Whole root	Drop-seq	5 days old seedling; 7 days old seedling	10	35665	Sucrose+;Sucrose-	Col-0	31091459	Shulse CN, et al. Cell Rep 2019	SRP169576_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP169576.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP169576.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP169576.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/SRP169576.h5ad
SRP171040	PRJNA507252	Arabidopsis thaliana	Root tip	10x Genomics	5 days after germination	5	33956	Normal	Col-0;Col-0 (rhd6);Col-0 (gl2)	30718350	Ryu KH, et al. Plant Physiol 2019	SRP171040_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP171040.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP171040.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP171040.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/SRP171040.h5ad
SRP173393	PRJNA509920	Arabidopsis thaliana	Root tip	10x Genomics	6 days old seedling	3	13252	Normal	Col-0;Col-0 (pMIR166A:erGFP reporter line);Col-0 (shr-3)	30913408	Denyer T, et al. Dev Cell 2019	SRP173393_UMAP_anno.png	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP173393.h5ad.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP173393.rds.gz	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP173393.csv.gz	https://biobigdata.nju.edu.cn/cellxgene/view/SRP173393.h5ad
