dataset	species	tissue	cells	bioproject	pmid	h5ad_gz_url	status_code	ok	error	content_length	size_mb	content_type	accept_ranges	etag	last_modified	species_priority	eligible_for_download	selected_for_download	selection_skip_reason
SRP285040	Arabidopsis thaliana	Root tip	1206	PRJNA664874	33608047	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP285040.h5ad.gz	200	True		5920922	5.647	application/octet-stream	bytes	"""64492617-5a589a"""	Wed, 26 Apr 2023 13:24:39 GMT	0	True	True	
ERP132245	Arabidopsis thaliana	True leaf	2018	PRJEB47924 	34687312	https://biobigdata.nju.edu.cn/scplantdb/datasets/ERP132245.h5ad.gz	200	True		25925673	24.725	application/octet-stream	bytes	"""644925b0-18b9829"""	Wed, 26 Apr 2023 13:22:56 GMT	0	True	True	
DRP009643	Arabidopsis thaliana	Rosette leaf	15400	PRJDB14071	36440710	https://biobigdata.nju.edu.cn/scplantdb/datasets/DRP009643.h5ad.gz	200	True		59969263	57.191	application/octet-stream	bytes	"""646dd646-3930eef"""	Wed, 24 May 2023 09:17:58 GMT	0	True	True	
SRP148288	Arabidopsis thaliana	Whole root	24369	PRJNA471914	31291572	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP148288.h5ad.gz	200	True		62870585	59.958	application/octet-stream	bytes	"""644925b7-3bf5439"""	Wed, 26 Apr 2023 13:23:03 GMT	0	True	True	
SRP273996	Arabidopsis thaliana	Root	10431	PRJNA649267	33422696	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP273996.h5ad.gz	200	True		64501172	61.513	application/octet-stream	bytes	"""64492608-3d835b4"""	Wed, 26 Apr 2023 13:24:24 GMT	0	True	True	
SRP307169	Arabidopsis thaliana	True leaf	17441	PRJNA703045	33823130	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP307169.h5ad.gz	200	True		75758302	72.249	application/octet-stream	bytes	"""6449261f-483fade"""	Wed, 26 Apr 2023 13:24:47 GMT	0	True	True	
SRP320285	Arabidopsis thaliana	Inflorescence	15662	PRJNA730707	35595749	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP320285.h5ad.gz	200	True		80111394	76.4	application/octet-stream	bytes	"""64492629-4c66722"""	Wed, 26 Apr 2023 13:24:57 GMT	0	True	True	
SRP182008	Arabidopsis thaliana	Root tip	13514	PRJNA517021	31004836	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP182008.h5ad.gz	200	True		82704828	78.873	application/octet-stream	bytes	"""644925c4-4edf9bc"""	Wed, 26 Apr 2023 13:23:16 GMT	0	True	True	
SRP292306	Arabidopsis thaliana	Leaf	5947	PRJNA677901	33955487	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP292306.h5ad.gz	200	True		89831860	85.67	application/octet-stream	bytes	"""6449261e-55ab9b4"""	Wed, 26 Apr 2023 13:24:46 GMT	0	True	True	
SRP285817	Arabidopsis thaliana	Root outside the meristem	17553	PRJNA666436	33822225	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP285817.h5ad.gz	200	True		91153801	86.931	application/octet-stream	bytes	"""64492619-56ee589"""	Wed, 26 Apr 2023 13:24:41 GMT	0	True	True	
SRP253497	Arabidopsis thaliana	Rosette-Leaf explant	7242	PRJNA613684	35605192	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP253497.h5ad.gz	200	True		92050587	87.786	application/octet-stream	bytes	"""644925e2-57c949b"""	Wed, 26 Apr 2023 13:23:46 GMT	0	True	True	
SRP169576	Arabidopsis thaliana	Whole root	35665	PRJNA506007	31091459	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP169576.h5ad.gz	200	True		108802218	103.762	application/octet-stream	bytes	"""644925bb-67c30aa"""	Wed, 26 Apr 2023 13:23:07 GMT	0	True	True	
CRA002977_1	Arabidopsis thaliana	True leaf	10947	PRJCA003094	33725481	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_1.h5ad.gz	200	True		146680403	139.885	application/octet-stream	bytes	"""64492568-8be2a53"""	Wed, 26 Apr 2023 13:21:44 GMT	0	True	True	
SRP166333	Arabidopsis thaliana	Whole root	16949	PRJNA497883	30923229	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP166333.h5ad.gz	200	True		147745223	140.901	application/octet-stream	bytes	"""644925b9-8ce69c7"""	Wed, 26 Apr 2023 13:23:05 GMT	0	True	True	
SRP279055	Arabidopsis thaliana	Hypocotyl callus	20787	PRJNA659737	34782770	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP279055.h5ad.gz	200	True		155851580	148.632	application/octet-stream	bytes	"""6449260a-94a1b3c"""	Wed, 26 Apr 2023 13:24:26 GMT	0	True	True	
SRP173393	Arabidopsis thaliana	Root tip	13252	PRJNA509920	30913408	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP173393.h5ad.gz	200	True		157496826	150.201	application/octet-stream	bytes	"""644925c2-96335fa"""	Wed, 26 Apr 2023 13:23:14 GMT	0	True	True	
SRP338044	Arabidopsis thaliana	True leaf	50418	PRJNA764868	35666176	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP338044.h5ad.gz	200	True		244324355	233.006	application/octet-stream	bytes	"""6449263d-e901803"""	Wed, 26 Apr 2023 13:25:17 GMT	0	True	True	
SRP398011	Arabidopsis thaliana	Leaf	22882	PRJNA881949	https://doi.org/10.1101/2022.10.07.511353	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP398011.h5ad.gz	200	True		260564654	248.494	application/octet-stream	bytes	"""64492650-f87e6ae"""	Wed, 26 Apr 2023 13:25:36 GMT	0	True	True	
SRP332285	Arabidopsis thaliana	Root phloem tissue	16017	PRJNA754157	35927456	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP332285.h5ad.gz	200	True		267417016	255.029	application/octet-stream	bytes	"""6449263a-ff075b8"""	Wed, 26 Apr 2023 13:25:14 GMT	0	True	True	
SRP247828_3	Arabidopsis thaliana	Cotyledon	44941	PRJNA605594	None	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP247828_3.h5ad.gz	200	True		360366930	343.673	application/octet-stream	bytes	"""644925dd-157ac352"""	Wed, 26 Apr 2023 13:23:41 GMT	0	True	True	
SRP247828_1	Arabidopsis thaliana	Cotyledon	41551	PRJNA577177	32592820	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP247828_1.h5ad.gz	200	True		364028363	347.165	application/octet-stream	bytes	"""644925d1-15b2a1cb"""	Wed, 26 Apr 2023 13:23:29 GMT	0	True	True	
SRP280069	Arabidopsis thaliana	Leaf	49016	PRJNA648028	34380624	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP280069.h5ad.gz	200	True		426907723	407.131	application/octet-stream	bytes	"""64492610-1972184b"""	Wed, 26 Apr 2023 13:24:32 GMT	0	True	True	
SRP171040	Arabidopsis thaliana	Root tip	33956	PRJNA507252	30718350	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP171040.h5ad.gz	200	True		441519014	421.065	application/octet-stream	bytes	"""644925c0-1a510ba6"""	Wed, 26 Apr 2023 13:23:12 GMT	0	True	True	
SRP235541	Arabidopsis thaliana	Root tip	27798	PRJNA594539	32943451	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP235541.h5ad.gz	200	True		459463004	438.178	application/octet-stream	bytes	"""644925cb-1b62d95c"""	Wed, 26 Apr 2023 13:23:23 GMT	0	True	True	
SRP330542	Arabidopsis thaliana	Root tip	22606	PRJNA750934	34358681	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP330542.h5ad.gz	200	True		468599730	446.892	application/octet-stream	bytes	"""64492636-1bee43b2"""	Wed, 26 Apr 2023 13:25:10 GMT	0	True	True	
SRP247828_2	Arabidopsis thaliana	True leaf; Cotyledon	93300	PRJNA605596	35218590	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP247828_2.h5ad.gz	200	True		592389744	564.947	application/octet-stream	bytes	"""644925d9-234f2670"""	Wed, 26 Apr 2023 13:23:37 GMT	0	True	True	
CRA002977_2	Arabidopsis thaliana	Vegetative shoot apex	63034	PRJCA003094	33725481	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA002977_2.h5ad.gz	200	True		743783363	709.327	application/octet-stream	bytes	"""64492571-2c553bc3"""	Wed, 26 Apr 2023 13:21:53 GMT	0	True	True	
SRP374045	Arabidopsis thaliana	Pollen	110032	PRJNA835893	36417865	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP374045.h5ad.gz	200	True		1044362052	995.981	application/octet-stream	bytes	"""6449264a-3e3fb344"""	Wed, 26 Apr 2023 13:25:30 GMT	0	True	True	
SRP386976	Oryza sativa	Pistil	11443	PRJNA859914	37028425	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP386976.h5ad.gz	200	True		28319781	27.008	application/octet-stream	bytes	"""6449264b-1b02025"""	Wed, 26 Apr 2023 13:25:31 GMT	1	True	True	
SRP339472	Oryza sativa	Inflorescence; Flag leaf and inflorescence	24028	PRJNA767589	35118670	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP339472.h5ad.gz	200	True		36851076	35.144	application/octet-stream	bytes	"""6449263e-2324d84"""	Wed, 26 Apr 2023 13:25:18 GMT	1	True	True	
SRP286275	Oryza sativa	Leaf	24264	PRJNA663193	33424903	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP286275.h5ad.gz	200	True		232931679	222.141	application/octet-stream	bytes	"""6449261c-de2415f"""	Wed, 26 Apr 2023 13:24:44 GMT	1	True	True	
SRP250946	Oryza sativa	Root tip	31139	PRJNA609100	33352304	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP250946.h5ad.gz	200	True		300751407	286.819	application/octet-stream	bytes	"""644925e0-11ed1a2f"""	Wed, 26 Apr 2023 13:23:44 GMT	1	True	True	
SRP309176	Oryza sativa	Root tip	47747	PRJNA706435	33824350	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP309176.h5ad.gz	200	True		516007597	492.103	application/octet-stream	bytes	"""64492628-1ec1a6ad"""	Wed, 26 Apr 2023 13:24:56 GMT	1	True	True	
SRP164771	Zea mays	Pollen	391	PRJNA495390	30948545	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP164771.h5ad.gz	200	True		11005540	10.496	application/octet-stream	bytes	"""644925b7-a7ee64"""	Wed, 26 Apr 2023 13:23:03 GMT	2	True	True	
SRP335180	Zea mays	Root tip	5868	PRJNA759548	https://doi.org/10.1016/j.cj.2022.02.004	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP335180.h5ad.gz	200	True		38571168	36.784	application/octet-stream	bytes	"""6449263a-24c8ca0"""	Wed, 26 Apr 2023 13:25:14 GMT	2	True	True	
SRP272727_23_26	Zea mays	Ear inflorescence	18066	PRJNA646989	33400914	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP272727_23_26.h5ad.gz	200	True		126085383	120.244	application/octet-stream	bytes	"""64492607-783e907"""	Wed, 26 Apr 2023 13:24:23 GMT	2	True	True	
SRP281914	Zea mays	Leaf	13251	PRJNA662627	33955497	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP281914.h5ad.gz	200	True		166866587	159.136	application/octet-stream	bytes	"""64492617-9f22e9b"""	Wed, 26 Apr 2023 13:24:39 GMT	2	True	True	
SRP224648	Zea mays	Leaf	14533	PRJNA576240	35205426	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP224648.h5ad.gz	200	True		169020012	161.19	application/octet-stream	bytes	"""644925c6-a130a6c"""	Wed, 26 Apr 2023 13:23:18 GMT	2	True	True	
SRP325657_1	Zea mays	Leaf base	59735	PRJNA740934	35166333	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP325657_1.h5ad.gz	200	True		186656387	178.009	application/octet-stream	bytes	"""6449262c-b202683"""	Wed, 26 Apr 2023 13:25:00 GMT	2	True	False	max_total_bytes_reached
SRP325657_2	Zea mays	Leaf abaxial mature peel (Pv2); Leaf abaxial mature peel (Pv3a); Leaf abaxial mature peel (Pv3b)	117871	PRJNA740934	35166333	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP325657_2.h5ad.gz	200	True		368631130	351.554	application/octet-stream	bytes	"""64492631-15f8dd5a"""	Wed, 26 Apr 2023 13:25:05 GMT	2	True	False	max_total_bytes_reached
SRP145013	Zea mays	Root tip	40848	PRJNA454730	34855479	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP145013.h5ad.gz	200	True		496647479	473.64	application/octet-stream	bytes	"""644925b6-1d9a3d37"""	Wed, 26 Apr 2023 13:23:02 GMT	2	True	False	max_total_bytes_reached
SRP417893	Zea mays	Leaf primordia	39495	PRJNA924780	37142751	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP417893.h5ad.gz	200	True		515918991	492.019	application/octet-stream	bytes	"""646dd67d-1ec04c8f"""	Wed, 24 May 2023 09:18:53 GMT	2	True	False	max_total_bytes_reached
SRP266308_1	Zea mays	Vegetative shoot apex	41558	PRJNA637882	33318187	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP266308_1.h5ad.gz	200	True		556644293	530.857	application/octet-stream	bytes	"""644925e8-212db7c5"""	Wed, 26 Apr 2023 13:23:52 GMT	2	True	False	max_total_bytes_reached
CRA008788	Triticum aestivum	Root tip	6875	PRJCA012935	37016448	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA008788.h5ad.gz	200	True		597539767	569.858	application/octet-stream	bytes	"""646f09e8-239dbbb7"""	Thu, 25 May 2023 07:10:32 GMT	3	True	True	
SRP241596	Gossypium hirsutum	Ovule outer integument	18463	PRJNA600131	36053965	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP241596.h5ad.gz	200	True		98270565	93.718	application/octet-stream	bytes	"""644925cd-5db7d65"""	Wed, 26 Apr 2023 13:23:25 GMT	4	True	True	
SRP379192	Gossypium hirsutum	Ovule outer integument	43090	PRJNA847210	36918913	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP379192.h5ad.gz	200	True		576269124	549.573	application/octet-stream	bytes	"""646dd651-22592b44"""	Wed, 24 May 2023 09:18:09 GMT	4	True	False	max_total_bytes_reached
SRP286427	Solanum lycopersicum	Stem-Borne Root	3087	PRJNA667489	35239373	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP286427.h5ad.gz	200	True		40532315	38.655	application/octet-stream	bytes	"""6449261c-26a795b"""	Wed, 26 Apr 2023 13:24:44 GMT	5	True	True	
SRP280242	Solanum lycopersicum	Vegetative shoot apex	58777	PRJNA661700	https://doi.org/10.1101/2020.09.20.305029	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP280242.h5ad.gz	200	True		409771466	390.789	application/octet-stream	bytes	"""64492615-186c9dca"""	Wed, 26 Apr 2023 13:24:37 GMT	5	True	False	max_total_bytes_reached
SRP335448	Catharanthus roseus	Leaf	41653	PRJNA759937	36522449	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP335448.h5ad.gz	200	True		431743318	411.743	application/octet-stream	bytes	"""646dd64a-19bbe156"""	Wed, 24 May 2023 09:18:02 GMT	6	True	True	
SRP354482	Nicotiana attenuata	Corolla	3111	PRJNA796301	35075650	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP354482.h5ad.gz	200	True		12404945	11.83	application/octet-stream	bytes	"""6449263f-bd48d1"""	Wed, 26 Apr 2023 13:25:19 GMT	10	True	True	
CRA009614	Bombax ceiba	Ovule inner integument	6661	PRJCA014500	36772797	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA009614.h5ad.gz	200	True		38390972	36.612	application/octet-stream	bytes	"""644925b0-249ccbc"""	Wed, 26 Apr 2023 13:22:56 GMT	10	True	True	
CRA004476	Populus alba var. pyramidalis	Wood tissue; Bark tissue	7345	PRJCA005543	34809675	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA004476.h5ad.gz	200	True		114767796	109.451	application/octet-stream	bytes	"""646f09e1-6d737b4"""	Thu, 25 May 2023 07:10:25 GMT	10	True	True	
SRP424189	Gossypium bickii	Cotyledon	12895	PRJNA934498	36772793	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP424189.h5ad.gz	200	True		117844202	112.385	application/octet-stream	bytes	"""646f09e9-70628ea"""	Thu, 25 May 2023 07:10:33 GMT	10	True	True	
SRP390780	Medicago truncatula	Root	24978	PRJNA868047	36321199	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP390780.h5ad.gz	200	True		120584082	114.998	application/octet-stream	bytes	"""6449264d-72ff792"""	Wed, 26 Apr 2023 13:25:33 GMT	10	True	True	
CRA007122	Glycine max	Nodule; Root	25121	PRJCA009893	37055554	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA007122.h5ad.gz	200	True		129608600	123.604	application/octet-stream	bytes	"""646dd645-7b9ab98"""	Wed, 24 May 2023 09:17:57 GMT	10	True	True	
SRP307440	Populus alba x Populus glandulosa	Stem stele	24016	PRJNA703312	34347368	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP307440.h5ad.gz	200	True		210481232	200.731	application/octet-stream	bytes	"""64492622-c8bb050"""	Wed, 26 Apr 2023 13:24:50 GMT	10	True	True	
SRP406470	Manihot esculenta	Tuberous root	35524	PRJNA895163	36684718	https://biobigdata.nju.edu.cn/scplantdb/datasets/SRP406470.h5ad.gz	200	True		238007007	226.981	application/octet-stream	bytes	"""64492653-e2fb2df"""	Wed, 26 Apr 2023 13:25:39 GMT	10	True	True	
CRA006988	Brassica rapa	Rosette leaf	22741	PRJCA009630	36039389	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA006988.h5ad.gz	200	True		313164972	298.657	application/octet-stream	bytes	"""644925a8-12aa84ac"""	Wed, 26 Apr 2023 13:22:48 GMT	10	True	True	
CRA004848	Fragaria vesca	The first true leaves	46028	PRJCA006322	35043166	https://biobigdata.nju.edu.cn/scplantdb/datasets/CRA004848.h5ad.gz	200	True		716983009	683.768	application/octet-stream	bytes	"""644925a4-2abc4ae1"""	Wed, 26 Apr 2023 13:22:44 GMT	10	True	True	
