cell_index	species	dataset_id	sample_id	tissue	cell_type	cell_type_coarse
0	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
1	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
2	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Phloem parenchyma	Phloem parenchyma
3	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
4	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
5	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
6	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
7	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
8	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
9	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
10	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
11	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
12	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
13	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
14	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
15	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
16	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
17	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
18	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
19	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
20	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
21	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
22	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
23	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
24	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
25	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
26	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
27	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
28	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
29	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
30	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
31	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
32	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
33	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
34	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
35	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
36	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
37	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
38	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
39	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
40	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
41	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
42	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
43	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
44	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
45	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
46	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
47	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
48	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
49	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
50	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
51	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
52	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
53	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
54	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
55	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
56	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
57	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
58	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
59	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
60	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
61	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
62	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
63	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
64	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
65	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
66	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
67	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
68	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
69	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
70	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
